object			
volume	37019	Capuron	1806
orth	Alcali miuéral aéré		
entry	Alcali minéral çaustique	0	
orth	Alcali minéral çaustique		
entry	Alcalifixe végétal caustique	0	
orth	Alcalifixe végétal caustique		
entry	Alcali fixe vegétal, alcali fîxe végétal aére	0	
orth	Alcali fixe vegétal		
orth	alcali fîxe végétal aére		
entry	Alcali fixe végétal caustique	0	
orth	Alcali fixe végétal caustique		
entry	Alcali végétal effervescent	0	
orth	Alcali végétal effervescent		
entry	Alcali volatil, alcali volatil caustique	0	
orth	Alcali volatil		
orth	alcali volatil caustique		
entry	Alcali volatil fluor	0	
orth	Alcali volatil fluor		
entry	Alcali volatil concret, alcali volatil effervescent	0	
orth	Alcali volatil concret		
orth	alcali volatil effervescent		
entry	Alun	0	
orth	Alun		
entry	Ambre jaune	0	
orth	Ambre jaune		
entry	Autimoine diaphorétique	0	
orth	Autimoine diaphorétique		
pb	448		
entry	Antimoine cru	0	
orth	Antimoine cru		
entry	Aqnila alba	0	
orth	Aqnila alba		
entry	Arcanecoralin	0	
orth	Arcanecoralin		
entry	Arsenic (chauxd’) blanc	0	
orth	Arsenic (chauxd’) blanc		
entry	Arcanum duplicatum	0	
orth	Arcanum duplicatum		
entry	Baume de soufre	0	
orth	Baume de soufre		
entry	Beurre d’antimoine	0	
orth	Beurre d’antimoine		
entry	Blanc de fard	0	
orth	Blanc de fard		
entry	Blanc de plomb	0	
orth	Blanc de plomb		
entry	Bézoard minéral	0	
orth	Bézoard minéral		
entry	Borax	0	
orth	Borax		
entry	Céruse	0	
orth	Céruse		
entry	Chaleur fixée	0	
orth	Chaleur fixée		
entry	Charbon pur	0	
orth	Charbon pur		
entry	Chaux métalliques	0	
orth	Chaux métalliques		
entry	Chaux d'antimoine vitrifié	0	
orth	Chaux d'antimoine vitrifié		
entry	Chaux d'arsenic	0	
orth	Chaux d'arsenic		
entry	Chaux de plomb	0	
orth	Chaux de plomb		
entry	Chanxvive	0	
orth	Chanxvive		
entry	Cinabre	0	
orth	Cinabre		
entry	Colcothar	0	
orth	Colcothar		
entry	Couperoseblanche	0	
orth	Couperoseblanche		
entry	Couperose bleue	0	
orth	Couperose bleue		
entry	Couperose verte	0	
orth	Couperose verte		
entry	Craie	0	
orth	Craie		
entry	Crème de chaux	0	
orth	Crème de chaux		
entry	Crême de tartre, crystaux de tartre	0	
orth	Crême de tartre		
orth	crystaux de tartre		
entry	Crocus métallorutn, safran des métaux	0	
orth	Crocus métallorutn		
orth	safran des métaux		
entry	Cry staux de lune	0	
orth	Cry staux de lune		
entry	Crystaux de soude	0	
orth	Crystaux de soude		
entry	Crystaux de Vénus	0	
orth	Crystaux de Vénus		
entry	Eau	0	
orth	Eau		
entry	Eau aérée	0	
orth	Eau aérée		
entry	Eau forte	0	
orth	Eau forte		
entry	Eau mercurielle	0	
orth	Eau mercurielle		
entry	Eau régale	0	
orth	Eau régale		
entry	Eaux acidules	0	
orth	Eaux acidules		
entry	Eaux gazeuses	0	
orth	Eaux gazeuses		
entry	Eaux hépatiques	0	
orth	Eaux hépatiques		
entry	Emétique	0	
orth	Emétique		
entry	Ernpyrée	0	
orth	Ernpyrée		
entry	Esprit alcalin volatil	0	
orth	Esprit alcalin volatil		
entry	Esprit ardent	0	
orth	Esprit ardent		
entry	Esprit de Mindérérus	0	
orth	Esprit de Mindérérus		
